filename,easting_km,northing_km
dop20rgb_32_469_5480_1_bw_2025.tif,469,5480
dop20rgb_32_469_5481_1_bw_2025.tif,469,5481
dop20rgb_32_469_5482_1_bw_2025.tif,469,5482
dop20rgb_32_469_5483_1_bw_2025.tif,469,5483
dop20rgb_32_469_5484_1_bw_2025.tif,469,5484
dop20rgb_32_469_5485_1_bw_2025.tif,469,5485
dop20rgb_32_470_5472_1_bw_2024.tif,470,5472
dop20rgb_32_470_5473_1_bw_2024.tif,470,5473
dop20rgb_32_470_5474_1_bw_2024.tif,470,5474
dop20rgb_32_470_5475_1_bw_2024.tif,470,5475
dop20rgb_32_470_5476_1_bw_2025.tif,470,5476
dop20rgb_32_470_5477_1_bw_2025.tif,470,5477
dop20rgb_32_470_5478_1_bw_2025.tif,470,5478
dop20rgb_32_470_5479_1_bw_2025.tif,470,5479
dop20rgb_32_470_5480_1_bw_2025.tif,470,5480
dop20rgb_32_470_5481_1_bw_2025.tif,470,5481
dop20rgb_32_470_5482_1_bw_2025.tif,470,5482
dop20rgb_32_470_5483_1_bw_2025.tif,470,5483
dop20rgb_32_470_5484_1_bw_2025.tif,470,5484
dop20rgb_32_470_5485_1_bw_2025.tif,470,5485
dop20rgb_32_470_5486_1_bw_2025.tif,470,5486
dop20rgb_32_470_5493_1_bw_2025.tif,470,5493
dop20rgb_32_470_5494_1_bw_2025.tif,470,5494
dop20rgb_32_470_5495_1_bw_2025.tif,470,5495
dop20rgb_32_471_5474_1_bw_2024.tif,471,5474
dop20rgb_32_471_5475_1_bw_2024.tif,471,5475
dop20rgb_32_471_5476_1_bw_2025.tif,471,5476
dop20rgb_32_471_5477_1_bw_2025.tif,471,5477
dop20rgb_32_471_5478_1_bw_2025.tif,471,5478
dop20rgb_32_471_5479_1_bw_2025.tif,471,5479
dop20rgb_32_471_5480_1_bw_2025.tif,471,5480
dop20rgb_32_471_5481_1_bw_2025.tif,471,5481
dop20rgb_32_471_5482_1_bw_2025.tif,471,5482
dop20rgb_32_471_5483_1_bw_2025.tif,471,5483
dop20rgb_32_471_5484_1_bw_2025.tif,471,5484
dop20rgb_32_471_5485_1_bw_2025.tif,471,5485
dop20rgb_32_471_5486_1_bw_2025.tif,471,5486
dop20rgb_32_471_5487_1_bw_2025.tif,471,5487
dop20rgb_32_471_5489_1_bw_2025.tif,471,5489
dop20rgb_32_471_5490_1_bw_2025.tif,471,5490
dop20rgb_32_471_5491_1_bw_2025.tif,471,5491
dop20rgb_32_471_5492_1_bw_2025.tif,471,5492
dop20rgb_32_471_5493_1_bw_2025.tif,471,5493
dop20rgb_32_471_5494_1_bw_2025.tif,471,5494
dop20rgb_32_471_5495_1_bw_2025.tif,471,5495
dop20rgb_32_472_5474_1_bw_2024.tif,472,5474
dop20rgb_32_472_5475_1_bw_2024.tif,472,5475
dop20rgb_32_472_5476_1_bw_2025.tif,472,5476
dop20rgb_32_472_5477_1_bw_2025.tif,472,5477
dop20rgb_32_472_5478_1_bw_2025.tif,472,5478
dop20rgb_32_472_5479_1_bw_2025.tif,472,5479
dop20rgb_32_472_5480_1_bw_2025.tif,472,5480
dop20rgb_32_472_5481_1_bw_2025.tif,472,5481
dop20rgb_32_472_5482_1_bw_2025.tif,472,5482
dop20rgb_32_472_5483_1_bw_2025.tif,472,5483
dop20rgb_32_472_5484_1_bw_2025.tif,472,5484
dop20rgb_32_472_5485_1_bw_2025.tif,472,5485
dop20rgb_32_472_5486_1_bw_2025.tif,472,5486
dop20rgb_32_472_5487_1_bw_2025.tif,472,5487
dop20rgb_32_472_5488_1_bw_2025.tif,472,5488
dop20rgb_32_472_5489_1_bw_2025.tif,472,5489
dop20rgb_32_472_5490_1_bw_2025.tif,472,5490
dop20rgb_32_472_5491_1_bw_2025.tif,472,5491
dop20rgb_32_472_5492_1_bw_2025.tif,472,5492
dop20rgb_32_472_5493_1_bw_2025.tif,472,5493
dop20rgb_32_472_5494_1_bw_2025.tif,472,5494
dop20rgb_32_472_5495_1_bw_2025.tif,472,5495
dop20rgb_32_472_5496_1_bw_2025.tif,472,5496
dop20rgb_32_473_5474_1_bw_2024.tif,473,5474
dop20rgb_32_473_5475_1_bw_2024.tif,473,5475
dop20rgb_32_473_5476_1_bw_2025.tif,473,5476
dop20rgb_32_473_5477_1_bw_2025.tif,473,5477
dop20rgb_32_473_5478_1_bw_2025.tif,473,5478
dop20rgb_32_473_5479_1_bw_2025.tif,473,5479
